,palavra,rec,pont
8419,exemplar,4,0.03507058511788533
3152,ar,4,0.03506972971752871
3912,arte,4,0.03506927292025329
7503,486dx4,3,0.0350230634082145
7667,hart,5,0.0350129618751977
7666,duda,5,0.0350129618751977
594,receptivos,41,0.034941964850096194
804,251,4,0.034872787602998466
1336,5.6,4,0.03472620976769965
1225,4.22,4,0.03472170663831556
5348,branco,3,0.03471130520698241
1865,competição,4,0.03468575353150539
1026,ep,3,0.03459850072444679
4639,petzold,7,0.034566696272290254
4762,benchmark,4,0.03454098158160407
272,of,75,0.034481965847920806
1957,pensarmos,4,0.03439090571855359
3109,sincronizador,1,0.034369365924432495
3119,ssd,1,0.034369365924432495
3111,64bits,1,0.034369365924432495
3114,2mword,1,0.034369365924432495
3117,4mword,1,0.034369365924432495
3107,intercom,1,0.034369365924432495
3118,e/s,1,0.034369365924432495
3120,64mbyte,1,0.034369365924432495
3121,128mbyte,1,0.034369365924432495
3108,ucp-2,1,0.034369365924432495
8840,pereira,1,0.034369365924432495
3106,ucp-1,1,0.034369365924432495
8863,manacá,1,0.034369365924432495
8861,mutabilis,1,0.034369365924432495
8860,quaresmeira,1,0.034369365924432495
8859,cogn,1,0.034369365924432495
8858,pranulosa,1,0.034369365924432495
8855,leguminosae-papilonoideae,1,0.034369365924432495
8854,vaca,1,0.034369365924432495
8853,pata,1,0.034369365924432495
3105,permanecem,1,0.034369365924432495
8851,bauhinia,1,0.034369365924432495
8850,caesalpinoideae,1,0.034369365924432495
8849,echinata,1,0.034369365924432495
8848,caesalpinia,1,0.034369365924432495
8846,kuntze,1,0.034369365924432495
8845,lecythidaceae,1,0.034369365924432495
8844,cabreúva,1,0.034369365924432495
8842,peruiferum,1,0.034369365924432495
8841,miroxyon,1,0.034369365924432495
8839,pau,1,0.034369365924432495
8838,benth,1,0.034369365924432495
8837,regnelli,1,0.034369365924432495
8836,platycianus,1,0.034369365924432495
8834,embaúba,1,0.034369365924432495
8833,cineria,1,0.034369365924432495
8832,cecropia,1,0.034369365924432495
8831,cecropiaceae,1,0.034369365924432495
8862,cong,1,0.034369365924432495
8852,forficata,1,0.034369365924432495
8887,glabra,1,0.034369365924432495
8864,serra,1,0.034369365924432495
8885,nyctaginaceae,1,0.034369365924432495
8888,choisy,1,0.034369365924432495
8884,jabuticabeira,1,0.034369365924432495
8883,berg,1,0.034369365924432495
8882,trunciflora,1,0.034369365924432495
8881,myrciaria,1,0.034369365924432495
3102,duplicação,1,0.034369365924432495
8880,uvaia,1,0.034369365924432495
8879,camb,1,0.034369365924432495
8878,pyriformis,1,0.034369365924432495
8877,goiabeira,1,0.034369365924432495
8876,guajava,1,0.034369365924432495
8875,araçá,1,0.034369365924432495
8874,sabine,1,0.034369365924432495
8873,cattleianum,1,0.034369365924432495
8871,pitanga,1,0.034369365924432495
8870,uniflora,1,0.034369365924432495
8868,jambolão,1,0.034369365924432495
8867,jambolanum,1,0.034369365924432495
8866,syzyngium,1,0.034369365924432495
8886,bougainvillea,1,0.034369365924432495
104,amostras,62,0.03433885092754342
7477,rgb,4,0.03429527939713016
4107,pl/1,5,0.03417343836223612
8026,tridimensionais,4,0.034139763810365126
7002,corba,4,0.03413530437197226
4267,end,7,0.03409793860233435
6986,extremidades,9,0.03409374646694481
1680,segmentos,32,0.03408109813161228
5597,reflexos,4,0.034048497763062124
1537,up,26,0.03398646597724119
8017,conjugado,4,0.03394831963198343
736,213,4,0.033919219487248575
3971,teclado,4,0.033902273639909886
2161,melhorias,4,0.03389037374031773
1086,linguagem,68,0.033886813448035534
