,palavra,rec,pont
7491,grosseiras,1,0.028225944278450717
7490,pantomimas,1,0.028225944278450717
7489,apreciavam,1,0.028225944278450717
7488,compreendiam,1,0.028225944278450717
7487,cretinos,1,0.028225944278450717
7486,vingar-se,1,0.028225944278450717
7485,enfureceu,1,0.028225944278450717
7483,método,1,0.028225944278450717
7482,aplicar,1,0.028225944278450717
7480,engraçados,1,0.028225944278450717
7479,circos,1,0.028225944278450717
7477,vexame,1,0.028225944278450717
7476,comédia,1,0.028225944278450717
7475,planejara,1,0.028225944278450717
7474,artistas,1,0.028225944278450717
7472,percebeu,1,0.028225944278450717
7470,bastidores,1,0.028225944278450717
7468,apeou-se,1,0.028225944278450717
7467,destramente,1,0.028225944278450717
7466,cavalgar,1,0.028225944278450717
7459,começa,1,0.028225944278450717
7460,despir-se,1,0.028225944278450717
7465,traje,1,0.028225944278450717
7461,breves,1,0.028225944278450717
7501,50,1,0.028225944278450717
3138,abolicionista,1,0.028225944278450717
3135,promessa,1,0.028225944278450717
3103,pilhasse,1,0.028225944278450717
8323,aquecer,1,0.028225944278450717
8324,explicado,1,0.028225944278450717
8325,bem-estar,1,0.028225944278450717
8326,inquirir,1,0.028225944278450717
8327,engasgar-me,1,0.028225944278450717
8329,conste,1,0.028225944278450717
8331,aprenda,1,0.028225944278450717
8333,suportaria,1,0.028225944278450717
8334,sermões,1,0.028225944278450717
8335,calculo,1,0.028225944278450717
8336,pregam,1,0.028225944278450717
3100,esfomeado,1,0.028225944278450717
3134,quebrarei,1,0.028225944278450717
3102,devorar,1,0.028225944278450717
3105,arranjado,1,0.028225944278450717
3107,acendia,1,0.028225944278450717
3108,relvado,1,0.028225944278450717
3109,produzi,1,0.028225944278450717
3110,chocolateira,1,0.028225944278450717
3111,frigideira,1,0.028225944278450717
3112,canecas,1,0.028225944278450717
3114,convencidíssimo,1,0.028225944278450717
3116,completou,1,0.028225944278450717
3117,comemos,1,0.028225944278450717
3122,dignas,1,0.028225944278450717
3137,chamem,1,0.028225944278450717
10304,evasão,4,0.028217465731401905
10730,buris,4,0.028196217715582148
2957,framboesas,4,0.02817703253768861
10149,libertá-lo,4,0.02816092986673757
8659,recorde-se,1,0.028127252165589
5085,pescador,1,0.028127252165589
8681,elenco,1,0.028127252165589
8661,assustaram-se,1,0.028127252165589
5092,consolei-o,1,0.028127252165589
8656,mostrar-lho,1,0.028127252165589
5094,planalto,1,0.028127252165589
5095,planície,1,0.028127252165589
5096,nutrisse,1,0.028127252165589
5097,confessá-las,1,0.028127252165589
8657,recorde,1,0.028127252165589
5073,esperteza,1,0.028127252165589
5084,tardei,1,0.028127252165589
5077,gratidão,1,0.028127252165589
5078,dividi,1,0.028127252165589
5088,perturbar-me,1,0.028127252165589
5079,fraternalmente,1,0.028127252165589
8671,apalermados,1,0.028127252165589
8679,consumados,1,0.028127252165589
8662,esperassem,1,0.028127252165589
8663,mostra,1,0.028127252165589
8666,supor,1,0.028127252165589
8667,retiraram-se,1,0.028127252165589
8668,despertá-lo,1,0.028127252165589
8669,rugiu,1,0.028127252165589
8670,quedaram,1,0.028127252165589
5091,aborre158cido,1,0.028127252165589
8672,coçando,1,0.028127252165589
8674,embrulharam,1,0.028127252165589
8677,vendidos,1,0.028127252165589
8678,representaram,1,0.028127252165589
7997,sandices,4,0.02810300615746583
7812,harvey,20,0.028100915980353355
1850,entregasse,4,0.02803513359658911
2856,pecados,4,0.028031959124096728
7855,esgotar,1,0.0280292478026427
7865,tristíssimo,1,0.0280292478026427
7866,tranqüila,1,0.0280292478026427
7853,saberá,1,0.0280292478026427
7864,realizam-se,1,0.0280292478026427
7861,calcula-se,1,0.0280292478026427
7856,empalem,1,0.0280292478026427
7860,portos,1,0.0280292478026427
7854,dirigir-se,1,0.0280292478026427
7831,agradabilíssima,1,0.0280292478026427
7852,referia,1,0.0280292478026427
7832,dezenove,1,0.0280292478026427
7858,ministro,1,0.0280292478026427
7857,inteirou,1,0.0280292478026427
7841,respeitáveis,1,0.0280292478026427
7859,dissidente,1,0.0280292478026427
7835,beiço,1,0.0280292478026427
7837,abandonadas,1,0.0280292478026427
7840,protegê-las,1,0.0280292478026427
1937,hóspedes,4,0.028023443082358466
7160,tentaram,4,0.028014022432082907
4800,unidos,4,0.027989697821875974
6410,permissão,4,0.027989697821875967
5155,infeliz,4,0.02797528096809403
8849,hanner,1,0.027931924025550187
8848,avisá-las,1,0.027931924025550187
8846,orando,1,0.027931924025550187
